# t(ms)	x	y
0	312	323
166	558	653
333	294	357
500	554	654
666	292	377
833	514	657
999	318	520
1166	288	480
1333	453	729
1500	143	447
1666	605	907
1833	184	351
2000	211	325
2166	249	309
2333	270	281
2499	305	309
2666	352	408
2833	301	393
2999	449	525
3166	616	536
3333	479	540
3499	525	542
3666	491	533
3833	454	533
3999	462	535
4166	481	531
4333	481	531
4499	481	531
4666	481	531
4833	481	531
5000	481	531
5166	294	536
5333	73	292
5500	80	975
5666	655	978
5833	651	294
6000	651	294
6166	69	298
6333	69	298
6500	69	298
6666	36	998
6833	36	998
7000	36	998
7166	651	987
7333	651	987
7500	651	987
7666	653	294
7833	653	294
8000	653	294
8166	79	293
8333	79	293
8500	79	293
8666	68	962
8833	68	962
9000	68	962
9166	566	976
9333	566	976
9500	566	976
9666	566	976
9833	566	976
9999	566	976
10166	566	976
10333	566	976
10499	566	976
10666	566	976
10833	566	976
10999	566	976
11166	566	976
11333	566	976
11499	566	976
11666	566	976
11833	566	976
11999	566	976
12166	566	976
12333	566	976
12499	566	976
12666	566	976
